id,vocabulary,major_class,infinitiveForm,imperativeForm,presentSimpleForm,pastSimpleForm,presentParticipleForm,pastParticipleForm,formBase,formMore,formMost,hasOnlyBaseForm,pronounType
0,me,3,,,,,,,,,,,0
1,I,3,,,,,,,,,,,0
2,you,3,,,,,,,,,,,1
3,to be,0,be,be,"am,are,is,are,are,are","was,were,was,were,were,were",being,been,,,,,
4,to do,0,do,do,"do,do,does,do,do,do","did,did,did,did,did,did",doing,done,,,,,
5,with,4,,,,,,,,,,,
6,to,4,,,,,,,,,,,
7,and,4,,,,,,,,,,,
8,a,4,,,,,,,,,,,
9,locked,2,,,,,,,locked,locked,locked,TRUE,
10,gate,1,,,,,,,,,,,
11,key,1,,,,,,,,,,,
12,to find,0,find,find,"find,find,finds,find,find,find","found,found,found,found,found,found",finding,found,,,,,
13,to unlock,0,unlock,unlock,"unlock,unlock,unlocks,unlock,unlock,unlock","unlocked,unlocked,unlocked,unlocked,unlocked,unlocked",unlocking,unlocked,,,,,
14,the,4,,,,,,,,,,,
15,to have,0,have,have,"have,have,has,have,have,have","had,had,had,had,had,had",having,had,,,,,
16,will,0,will,will,"will,will,will,will,will,will","willed,willed,willed,willed,willed,willed",willing,willed,,,,,
17,coffee shop,1,,,,,,,,,,,
18,mess,1,,,,,,,,,,,
19,angry,2,,,,,,,angry,angrier,angriest,FALSE,
20,gardener,1,,,,,,,,,,,
21,sorry,2,,,,,,,sorry,sorry,sorry,TRUE,
22,shop manager,1,,,,,,,,,,,
23,really,4,,,,,,,,,,,
24,broom,1,,,,,,,,,,,
25,to use,0,use,use,"use,use,uses,use,use,use","used,used,used,used,used,used",using,used,,,,,
26,to sweep,0,sweep,sweep,"sweep,sweep,sweeps,sweep,sweep,sweep","swept,swept,swept,swept,swept,swept",sweeping,swept,,,,,
