id,chitchat,,,,,,,,,,,,,,,,
0,"Well well, if it isn’t the newcomer!","You're looking...uhhh...alive, early in the morning.",I'm busy with removing these leaves from the path.,"If you need something, feel free to talk to me.",But speak clearly.,"I'm not the youngest after all, am i?",Harharharharharhar!,,,,,,,,,,
1,"So, what did you want to tell me?","Something about the gate, am I right?",,,,,,,,,,,,,,,
2,Did you find my place?,It's right next to me.,Can you go check inside?,There should be something in there.,"At least, i think.",,,,,,,,,,,,
3,Hm? Did i forget something?,What do you want me to do with the key now?,,,,,,,,,,,,,,,
4,Hey! Don’t step there!,"I’m cleaning, don’t you see?",,,,,,,,,,,,,,,
5,Cleaning the coffee shop....,Unbelievable!,He better apologize right now!,,,,,,,,,,,,,,
6,"I want him to really, REALLY, apologize!",,,,,,,,,,,,,,,,
7,Greetings dear friend!,I welcome you to the only coffee shop in this park!,Well… what remains of it.,"I would love to offer you a good cup of coffee, but I can’t possibly reopen the shop in this state.","As you can see, the storm that hit us in the last few days caused big damages.","I’m trying my best to clean up the area, but doing it with bare hands is not ideal.",There must be some kind of tool for situations like these.,But the only tools I know are the coffee grinder and the moka pot.,I would ask for help to the Gardener but…,Let’s just say that we are not exactly on good terms.,"Well, since you are here…",Would it be too much to ask you to tell the Gardener that you want to clean this mess?,I know it's not your concearn...,"But if I were to ask him myself, he would probably refuse.","When it’s done, I promise you will have the best coffee of your life!","On the house, of course.",Thank you so much!
8,Have you talked to the Gardener yet?,I hope he wasn’t too harsh with you!,,,,,,,,,,,,,,,
9,Make sure to really sound apologetic with the Gardener.,He sure is a stubborn man... ,,,,,,,,,,,,,,,
10,Darn... how am I supposed to use the broom?,,,,,,,,,,,,,,,,
