id,dialogPuzzleSolved,,,,,,,,,,,,,,,,,,,,,,
0,Excuse me?,Are you some kind of overgrown toddler?,Speak like an adult!,Hold on… I’ve never seen a vocabulary this empty before.,You don’t even have the bare minimum to speak!,Unbelievable. Am I ever going to find someone competent to replace me?,"Here, take these words.",I’m not babysitting another dead weight.,And I especially don’t want another brat running around the park.,Those two troublemakers are already more than enough.,"So, what did you want to tell me?",,,,,,,,,,,,
1,Of course it’s locked!,I always lock this zone when I’m cleaning it.,I don’t want people to mess it up while I’m trying to do my job!,Next time think twice before taking a nap on that bench.,Anyways...,There should be something inside my house.,What was it again?,Can you go check for me?,As you can see i'm busy with all the leaves on the ground.,"Darn, i hate autumns.",Autumns and winters.,They always leave a mess on the floor.,Ah.,Just ignore this old mans rambling.,What did i want again?,Hm...,Hmmmm...,Hmmmmmmmmmmmm...,Oh right!,Check my house,"Wait, i'll open the door for you.",,
2,"Oh, Thank you youngster",The key is right here in my pockets.,See? That’s why I need young people like you here!,Make sure to learn how to properly talk.,You can’t be the next gardener if you can’t communicate with others.,Harharharharhar.,*cough* *cough*,Hmm?,Did I forget something?,What do you want me to do with the key now?,,,,,,,,,,,,,
3,"Ohhh, that's right","Harharhar excuse me and my brain, youngster.",I'll leave the gate open for you.,I still need to finish my work. The leaves aren't gonna remove themselves from here.,I hope they would *grumble*,Anyways...,If you need me you know where to find me.,,,,,,,,,,,,,,,,
4,Ah! Don’t even mention it!,I don’t want to know anything about that flower head and his steaming contraptions!,Let alone help with the cleaning!,I am still too mad at him for what he has done.,Certain misdeeds must not be tolerated!,It’s part of my work ethics.,You know what is even worse?,He never apologized for it!,You heard it! He never apologized for it!,…,Yeah…,…,……,"Well, I might have forgotten what he did…",………,But it doesn’t matter!,I can still feel my anger!,Go and tell him!,"Tell him that ME, the honest and hardworking Gardener of this park…",*cough* *cough*,Will not…,*cough* *cough* *cough*,… tolerate any insolence in my regards!
5,Ah! There you go!,Finally!,…,Mh…,Hmmmm...,Hmmmmmmmmmmmm...,I don’t think it’s enough.,"I want him to really, REALLY, apologize!",,,,,,,,,,,,,,,
6,Good. Very good!,Now…,Tell the flower head that he can use my broom.,I am not cleaning that mess. He will have to do it on his own.,He better not do…,…,Whatever he did…,"Now go, let me work!",,,,,,,,,,,,,,,
7,What? After all this time?,"Listen, I didn’t want to break his shovel!",For some reason I thought that using the shovel to smash the coffee beans was a good idea…,It broke after a couple of strikes…,My coffee grinder was broken!,What else could I have done?,…,Anyway…,I should probably apologize.,…,Could you do it for me?,I’m really busy right now.,Someone must turn this big table back up.,,,,,,,,,,
8,Mh…,A broom?,I think I know what a broom is.,I’m not really sure how I’m supposed to use it though…,Should I smash it against the table to get it back up?,Darn…,The Gardener is going to be mad at me again if I don’t find the right method…,,,,,,,,,,,,,,,,
9,Sweep?,With the broom?,Oh! That’s right!,What a great idea you had!,Good! It’s finally time to get this shop back open!,Thank you so much for your help.,Come back here as soon as I’m done.,Your delicious coffee will be waiting for you!,,,,,,,,,,,,,,,
