id,sentenceId,chitchatId,dialogPuzzleSolvedId,dialogResponseFalse,dialogTimeRunOut,dialogPuzzlePrompt,timelimitSeconds,,
0,0,0,0,I'm sorry youngster. I have no idea what you are talking about.,If you wanna talk at least find something to talk about!,What do you want now? Don’t you see I’m working?,60,,G1C1
1,1,1,1,Speak up youngster! Don't you see how old I am?,Nobody told you that you need to put a word after another to talk?,So what did you want to tell me about the gate?,60,,G2C1
2,2,2,2,"I have no idea what you are talking about, youngster",Hmm? What did you say? I can't hear properly. My ears aren't exactly like how they used to be.,So? Did you find something in my house?,60,,G2C2
3,3,3,3,"Unfortunately, i can't make sense of what you're saying. Try thinking carefully what you wanna say beforehand. My recommendations when it comes to thinking are benches. After all, nothing beats relaxing on a bench and getting lost in the greens of the park, am i right? Harharharhar-hmm? What were we talking about youngster?","Haaa? I can't hear you properly. Don't be shy, i'm not gonna bite! Harharharhar.",What do you want me to do with the key now?,60,,G2C3
4,4,4,4,Speak louder youngster! I can't hear you!,Come on youngster! You lost your words?,You again? What is it now?,60,,G3C1
5,5,7,7,"Sorry, could you repeat that?",Hello? Is everything alright?,Have you talked to the Gardener yet?,60,,M1C1
6,6,5,5,Speak louder youngster! I can't hear you!,Come on youngster! You lost your words?,"So, does the flower head have something to tell me?",60,,G3C2
7,7,6,6,I don't think that's enough. More apologies!,Come on youngster! You lost your words?,"I want him to really, REALLY, apologize!",60,,G3C3
8,8,8,8,"Sorry, could you repeat that?",Hello? Is everything alright?,Did the Gardener decide to help me?,60,,M1C2
9,9,10,9,"Sorry, could you repeat that?",Hello? Is everything alright?,Darn... how am I supposed to use the broom?,60,,M1C3
